Рейтинг выгоды,Эффективный курс (RUB/USD),Курс (RUB/INR),Номинал (INR),Номинал эквивалент (USD),Цена со скидкой (RUB),Базовая цена (RUB),Тип скидки,Название товара,Рейтинг,ID Магазина,Ссылка
120,109.20,1.1400,1000.0,10.44,1140.0,1400.0,alfaBank,"Подарочная карта Apple, пополнение счета App Store, iTunes, 1 000 INR, Индия",4.6,83799497,https://market.yandex.ru/product/5144655495
121,109.28,1.1408,1250.0,13.05,1426.0,1999.0,alfaBank,Подарочная карта/карта оплаты Apple (Apple ID) App Store & iTunes Code на 1250 INR | India | Оригинальный код,4.6,208900360,https://market.yandex.ru/product/1237936207
122,110.16,1.1500,100.0,1.04,115.0,162.0,alfaBank,App Store & iTunes 100 INR (Other; PC; Регион активации Индия),N/A,54181517,https://market.yandex.ru/product/5555131795
123,110.16,1.1500,200.0,2.09,230.0,374.0,alfaBank,Карта/код пополнения | App Store | iTunes | Gift Card | 200 INR (Рупия) | Индия,5.0,94154873,https://market.yandex.ru/product/6128289612
124,110.55,1.1540,1000.0,10.44,1154.0,1580.0,withDiscount,"Apple Gift Card Индия · INR 1000 — карта оплаты, цифровой код пополнения счёта, моментальная доставка",5.0,112243599,https://market.yandex.ru/product/6025296025
125,110.93,1.1580,1000.0,10.44,1158.0,1999.0,alfaBank,Подарочная карта Apple iTunes 1000 INR индийских рупий Индия / App Store & iTunesIndia / Карта пополнения Apple ID,4.9,216516237,https://market.yandex.ru/product/5777264402
126,111.41,1.1630,6000.0,62.63,6978.0,8799.0,alfaBank,Подарочная карта/карта оплаты Apple (Apple ID) App Store & iTunes Code на 6000 INR | India | Оригинальный код,4.6,208900360,https://market.yandex.ru/product/1237936207
127,111.43,1.1632,4000.0,41.76,4653.0,5999.0,alfaBank,Подарочная карта/карта оплаты Apple (Apple ID) App Store & iTunes Code на 4000 INR | India | Оригинальный код,4.6,208900360,https://market.yandex.ru/product/1237936207
128,111.63,1.1653,1500.0,15.66,1748.0,2417.0,alfaBank,"Подарочная карта App Store & iTunes 1500 INR (рупии) регион Индия, пополнение баланса, цифровой код активации",4.6,216679128,https://market.yandex.ru/product/5652834599
129,111.73,1.1663,3000.0,31.32,3499.0,3680.0,alfaBank,Подарочная карта Apple 3000 INR / Пополнение App Store & iTunes на 3000 рупий / цифровой код / мгновенная выдача,5.0,204056393,https://market.yandex.ru/product/5824544463
130,111.76,1.1667,150.0,1.57,175.0,199.0,withDiscount,"Apple Gift Card Индия · INR 150 — карта оплаты, цифровой код пополнения счёта, моментальная доставка",5.0,112243599,https://market.yandex.ru/product/6025296025
131,111.77,1.1668,5000.0,52.20,5834.0,6967.0,alfaBank,Apple Индия 5000 INR пополнение баланса / App Store & iTunes India 5000 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
132,111.86,1.1677,3000.0,31.32,3503.0,4180.0,alfaBank,Apple Индия 3000 INR пополнение баланса / App Store & iTunes India 3000 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
133,111.89,1.1680,2000.0,20.88,2336.0,2786.0,alfaBank,Apple Индия 2000 INR пополнение баланса / App Store & iTunes India 2000 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
134,111.89,1.1680,2500.0,26.10,2920.0,3483.0,alfaBank,Apple Индия 2500 INR пополнение баланса / App Store & iTunes India 2500 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
135,112.21,1.1713,1500.0,15.66,1757.0,2289.0,alfaBank,"Apple Подарочная карта на 1500 INR (Индия/IN, цифровой код)",4.9,216734987,https://market.yandex.ru/product/5703215743
136,112.27,1.1720,500.0,5.22,586.0,899.0,alfaBank,Подарочная карта/карта оплаты Apple (Apple ID) App Store & iTunes Code на 500 INR | India | Оригинальный код,4.6,208900360,https://market.yandex.ru/product/1237936207
137,112.41,1.1735,2000.0,20.88,2347.0,2771.0,withDiscount,"Apple Gift Card Индия · INR 2000 — карта оплаты, цифровой код пополнения счёта, моментальная доставка",5.0,112243599,https://market.yandex.ru/product/6025296025
